combinacion,accuracy,f1,precision,recall
('fixed_acidity', 'chlorides', 'density', 'pH'),0.48757396449704143,0.46007978869832006,0.4484783695795643,0.48757396449704143
('fixed_acidity', 'chlorides', 'density', 'sulphates'),0.47810650887573963,0.44731090757558756,0.44096147699941163,0.47810650887573963
('fixed_acidity', 'chlorides', 'density', 'alcohol'),0.5313609467455621,0.5048750929458827,0.49061444935455567,0.5313609467455621
('fixed_acidity', 'chlorides', 'pH', 'sulphates'),0.47928994082840237,0.44672183280876476,0.4390933108872556,0.47928994082840237
('fixed_acidity', 'chlorides', 'pH', 'alcohol'),0.5254437869822485,0.501202024731469,0.484783774096869,0.5254437869822485
('fixed_acidity', 'chlorides', 'sulphates', 'alcohol'),0.514792899408284,0.4868768322172134,0.4739037298814871,0.514792899408284
('fixed_acidity', 'free_sulfur_dioxide', 'total_sulfur_dioxide', 'density'),0.5017751479289941,0.47545142049175715,0.466008251897675,0.5017751479289941
('fixed_acidity', 'free_sulfur_dioxide', 'total_sulfur_dioxide', 'pH'),0.4603550295857988,0.4269238894487138,0.43031731873017165,0.4603550295857988
('fixed_acidity', 'free_sulfur_dioxide', 'total_sulfur_dioxide', 'sulphates'),0.48757396449704143,0.4521006947935031,0.4849441889136683,0.48757396449704143
('fixed_acidity', 'free_sulfur_dioxide', 'total_sulfur_dioxide', 'alcohol'),0.527810650887574,0.504297180210373,0.49852466503158394,0.527810650887574
('fixed_acidity', 'free_sulfur_dioxide', 'density', 'pH'),0.493491124260355,0.467485512472798,0.46427787953461963,0.493491124260355
('fixed_acidity', 'free_sulfur_dioxide', 'density', 'sulphates'),0.48757396449704143,0.4590157643584572,0.450791859433087,0.48757396449704143
('fixed_acidity', 'free_sulfur_dioxide', 'density', 'alcohol'),0.5502958579881657,0.5225534303634253,0.5172846636559426,0.5502958579881657
('fixed_acidity', 'free_sulfur_dioxide', 'pH', 'sulphates'),0.45798816568047335,0.4120826928629653,0.4189895531201215,0.45798816568047335
('fixed_acidity', 'free_sulfur_dioxide', 'pH', 'alcohol'),0.5136094674556213,0.48655007225969776,0.5060654080579521,0.5136094674556213
('fixed_acidity', 'free_sulfur_dioxide', 'sulphates', 'alcohol'),0.5088757396449705,0.4838712150045327,0.48603040577975754,0.5088757396449705
('fixed_acidity', 'total_sulfur_dioxide', 'density', 'pH'),0.5029585798816568,0.4783609310562959,0.46468620075211703,0.5029585798816568
('fixed_acidity', 'total_sulfur_dioxide', 'density', 'sulphates'),0.4958579881656805,0.46974602660452824,0.474970006028296,0.4958579881656805
('fixed_acidity', 'total_sulfur_dioxide', 'density', 'alcohol'),0.527810650887574,0.5051589926209238,0.48878322976683625,0.527810650887574
('fixed_acidity', 'total_sulfur_dioxide', 'pH', 'sulphates'),0.48520710059171596,0.45281225969076444,0.4459791992669312,0.48520710059171596
('fixed_acidity', 'total_sulfur_dioxide', 'pH', 'alcohol'),0.506508875739645,0.4824229466130143,0.46748490043212154,0.506508875739645
('fixed_acidity', 'total_sulfur_dioxide', 'sulphates', 'alcohol'),0.5289940828402366,0.5048438490409632,0.5217722932554565,0.5289940828402366
('fixed_acidity', 'density', 'pH', 'sulphates'),0.4863905325443787,0.46057933800960005,0.45113045061081763,0.4863905325443787
('fixed_acidity', 'density', 'pH', 'alcohol'),0.5171597633136095,0.4910321970584122,0.47484428558448877,0.5171597633136095
('fixed_acidity', 'density', 'sulphates', 'alcohol'),0.5195266272189349,0.4920930010629604,0.4778717389958608,0.5195266272189349
('fixed_acidity', 'pH', 'sulphates', 'alcohol'),0.48284023668639053,0.45985195887966324,0.4442601569763532,0.48284023668639053
('volatile_acidity', 'citric_acid', 'residual_sugar', 'chlorides'),0.4911242603550296,0.45680556648975346,0.4489131111803177,0.4911242603550296
('volatile_acidity', 'citric_acid', 'residual_sugar', 'free_sulfur_dioxide'),0.49467455621301776,0.4584004886090512,0.4508437660653081,0.49467455621301776
('volatile_acidity', 'citric_acid', 'residual_sugar', 'total_sulfur_dioxide'),0.5053254437869823,0.46909922190309056,0.46206380462392027,0.5053254437869823
('volatile_acidity', 'citric_acid', 'residual_sugar', 'density'),0.5029585798816568,0.47439219133157595,0.46225405621351345,0.5029585798816568
('volatile_acidity', 'citric_acid', 'residual_sugar', 'pH'),0.4662721893491124,0.42735498075895945,0.4189036508670211,0.4662721893491124
('volatile_acidity', 'citric_acid', 'residual_sugar', 'sulphates'),0.48520710059171596,0.44929302535686055,0.4399822111777626,0.48520710059171596
('volatile_acidity', 'citric_acid', 'residual_sugar', 'alcohol'),0.557396449704142,0.5315675202623766,0.5184602721941193,0.557396449704142
('volatile_acidity', 'citric_acid', 'chlorides', 'free_sulfur_dioxide'),0.4970414201183432,0.4681582217840203,0.48832956763285,0.4970414201183432
('volatile_acidity', 'citric_acid', 'chlorides', 'total_sulfur_dioxide'),0.4970414201183432,0.4723974644211607,0.46929780412445715,0.4970414201183432
('volatile_acidity', 'citric_acid', 'chlorides', 'density'),0.5100591715976331,0.4812810990765976,0.4679915629665924,0.5100591715976331
('volatile_acidity', 'citric_acid', 'chlorides', 'pH'),0.48284023668639053,0.45313408276838285,0.44221756524655526,0.48284023668639053
('volatile_acidity', 'citric_acid', 'chlorides', 'sulphates'),0.4887573964497041,0.4493087630753713,0.43436727264131486,0.4887573964497041
('volatile_acidity', 'citric_acid', 'chlorides', 'alcohol'),0.5325443786982249,0.5052151861516411,0.49224585863658926,0.5325443786982249
